"customer","recency_days","frequency","monetary","r_score","f_score","m_score","rfm_total","segment"
"16712.0",9,"13","4259.34",5,5,5,15,"Champions"
"18230.0",9,"9","4291.06",5,5,5,15,"Champions"
"15039.0",9,"93","40031.43",5,5,5,15,"Champions"
"12957.0",9,"13","8706.97",5,5,5,15,"Champions"
"15712.0",9,"12","3472.41",5,5,5,15,"Champions"
"13013.0",1,"29","12625.77",5,5,5,15,"Champions"
"12921.0",9,"74","35921.04",5,5,5,15,"Champions"
"14702.0",1,"29","6742.42",5,5,5,15,"Champions"
"13269.0",1,"28","8891.70",5,5,5,15,"Champions"
"16523.0",1,"28","11916.33",5,5,5,15,"Champions"
"14963.0",9,"12","3164.48",5,5,5,15,"Champions"
"16265.0",9,"12","6935.17",5,5,5,15,"Champions"
"14156.0",9,"151","305767.92",5,5,5,15,"Champions"
"15903.0",9,"12","8939.84",5,5,5,15,"Champions"
"12714.0",9,"12","12815.71",5,5,5,15,"Champions"
"13012.0",9,"11","2972.83",5,5,5,15,"Champions"
"12429.0",9,"8","6979.91",5,5,5,15,"Champions"
"15394.0",9,"11","5286.80",5,5,5,15,"Champions"
"15680.0",9,"10","4507.58",5,5,5,15,"Champions"
"12598.0",9,"10","4192.09",5,5,5,15,"Champions"
"13658.0",9,"9","6025.50",5,5,5,15,"Champions"
"14540.0",9,"11","3795.34",5,5,5,15,"Champions"
"14258.0",9,"25","32051.34",5,5,5,15,"Champions"
"15046.0",9,"25","7793.44",5,5,5,15,"Champions"
"12955.0",1,"11","4757.16",5,5,5,15,"Champions"
"14755.0",9,"25","9972.55",5,5,5,15,"Champions"
"15611.0",9,"24","2976.28",5,5,5,15,"Champions"
"14062.0",9,"24","25604.20",5,5,5,15,"Champions"
"16775.0",10,"16","3056.89",5,5,5,15,"Champions"
"13098.0",1,"28","28882.44",5,5,5,15,"Champions"
"14667.0",10,"54","21891.39",5,5,5,15,"Champions"
"17655.0",10,"9","3652.48",5,5,5,15,"Champions"
"15615.0",10,"47","21373.97",5,5,5,15,"Champions"
"14388.0",10,"16","6701.00",5,5,5,15,"Champions"
"15218.0",10,"22","11501.57",5,5,5,15,"Champions"
"18118.0",10,"29","6730.82",5,5,5,15,"Champions"
"13137.0",10,"16","7712.70",5,5,5,15,"Champions"
"14088.0",10,"16","64036.80",5,5,5,15,"Champions"
"12727.0",10,"10","4905.53",5,5,5,15,"Champions"
"13883.0",10,"14","6535.37",5,5,5,15,"Champions"
"13576.0",10,"28","11551.74",5,5,5,15,"Champions"
"16549.0",10,"34","13182.19",5,5,5,15,"Champions"
"16782.0",10,"38","10438.41",5,5,5,15,"Champions"
"14390.0",10,"13","6399.83",5,5,5,15,"Champions"
"13014.0",10,"11","5381.08",5,5,5,15,"Champions"
"14701.0",10,"15","4562.09",5,5,5,15,"Champions"
"14209.0",10,"15","4993.27",5,5,5,15,"Champions"
"16818.0",10,"11","3349.57",5,5,5,15,"Champions"
"15755.0",10,"17","5993.12",5,5,5,15,"Champions"
"14866.0",10,"17","20803.72",5,5,5,15,"Champions"
"14621.0",1,"9","3000.57",5,5,5,15,"Champions"
"17682.0",10,"11","4456.78",5,5,5,15,"Champions"
"14180.0",10,"33","6319.25",5,5,5,15,"Champions"
"13198.0",10,"8","4974.23",5,5,5,15,"Champions"
"17675.0",1,"70","38259.60",5,5,5,15,"Champions"
"16168.0",10,"66","10636.47",5,5,5,15,"Champions"
"14408.0",10,"11","4109.77",5,5,5,15,"Champions"
"14824.0",10,"10","4022.91",5,5,5,15,"Champions"
"13999.0",10,"29","9502.26",5,5,5,15,"Champions"
"17306.0",10,"21","9782.35",5,5,5,15,"Champions"
"14961.0",10,"22","16410.15",5,5,5,15,"Champions"
"16992.0",10,"13","5476.50",5,5,5,15,"Champions"
"14606.0",1,"184","30558.44",5,5,5,15,"Champions"
"17019.0",11,"11","3996.90",5,5,5,15,"Champions"
"13590.0",11,"18","6349.59",5,5,5,15,"Champions"
"18229.0",11,"28","10803.71",5,5,5,15,"Champions"
"17419.0",11,"18","6500.52",5,5,5,15,"Champions"
"17739.0",11,"18","7730.59",5,5,5,15,"Champions"
"13266.0",11,"19","6135.04",5,5,5,15,"Champions"
"15838.0",11,"34","74163.00",5,5,5,15,"Champions"
"13081.0",11,"28","59205.15",5,5,5,15,"Champions"
"16705.0",0,"42","43515.05",5,5,5,15,"Champions"
"16933.0",1,"9","3181.25",5,5,5,15,"Champions"
"15571.0",11,"14","4051.63",5,5,5,15,"Champions"
"13468.0",1,"72","13390.51",5,5,5,15,"Champions"
"14290.0",11,"8","4516.56",5,5,5,15,"Champions"
"13115.0",11,"10","5494.70",5,5,5,15,"Champions"
"13077.0",1,"11","3064.67",5,5,5,15,"Champions"
"17929.0",11,"12","3082.10",5,5,5,15,"Champions"
"17841.0",1,"211","70858.77",5,5,5,15,"Champions"
"18041.0",11,"38","8752.38",5,5,5,15,"Champions"
"15601.0",11,"30","14960.12",5,5,5,15,"Champions"
"13418.0",11,"31","12233.60",5,5,5,15,"Champions"
"12668.0",11,"9","9967.68",5,5,5,15,"Champions"
"14215.0",11,"9","3416.33",5,5,5,15,"Champions"
"17651.0",11,"16","5703.52",5,5,5,15,"Champions"
"13758.0",11,"14","9314.14",5,5,5,15,"Champions"
"13680.0",1,"12","11435.67",5,5,5,15,"Champions"
"17188.0",11,"13","4592.93",5,5,5,15,"Champions"
"17757.0",1,"56","9418.50",5,5,5,15,"Champions"
"16347.0",11,"11","3509.41",5,5,5,15,"Champions"
"13004.0",11,"36","11650.85",5,5,5,15,"Champions"
"14415.0",1,"23","12091.60",5,5,5,15,"Champions"
"16094.0",11,"11","3695.56",5,5,5,15,"Champions"
"16401.0",1,"23","6847.45",5,5,5,15,"Champions"
"13571.0",12,"26","4546.54",5,5,5,15,"Champions"
"17243.0",1,"69","20870.96",5,5,5,15,"Champions"
"14056.0",1,"23","8214.65",5,5,5,15,"Champions"
"17231.0",12,"25","7197.04",5,5,5,15,"Champions"
"14878.0",12,"25","4105.24",5,5,5,15,"Champions"
"17365.0",12,"15","8219.94",5,5,5,15,"Champions"
"18145.0",12,"11","5617.79",5,5,5,15,"Champions"
"15351.0",12,"10","3738.29",5,5,5,15,"Champions"
"17769.0",12,"17","7103.08",5,5,5,15,"Champions"
"15555.0",12,"36","12102.22",5,5,5,15,"Champions"
"15514.0",12,"18","6594.77",5,5,5,15,"Champions"
"16923.0",12,"32","13378.36",5,5,5,15,"Champions"
"14441.0",0,"11","4611.69",5,5,5,15,"Champions"
"14217.0",1,"23","3416.89",5,5,5,15,"Champions"
"16983.0",12,"11","3710.22",5,5,5,15,"Champions"
"15861.0",12,"12","4393.49",5,5,5,15,"Champions"
"17068.0",12,"47","9147.33",5,5,5,15,"Champions"
"13089.0",2,"203","116737.86",5,5,5,15,"Champions"
"16327.0",14,"16","10670.14",5,5,5,15,"Champions"
"16719.0",14,"14","3968.30",5,5,5,15,"Champions"
"18172.0",14,"52","17479.84",5,5,5,15,"Champions"
"16539.0",2,"10","3732.01",5,5,5,15,"Champions"
"15382.0",14,"12","13733.55",5,5,5,15,"Champions"
"12681.0",14,"44","27898.28",5,5,5,15,"Champions"
"17511.0",2,"60","175603.55",5,5,5,15,"Champions"
"16779.0",2,"53","33268.24",5,5,5,15,"Champions"
"13050.0",14,"34","12235.30",5,5,5,15,"Champions"
"16525.0",2,"48","24582.64",5,5,5,15,"Champions"
"15498.0",2,"44","26039.58",5,5,5,15,"Champions"
"16814.0",14,"36","12489.81",5,5,5,15,"Champions"
"13048.0",14,"9","4084.21",5,5,5,15,"Champions"
"15005.0",15,"56","14104.20",5,5,5,15,"Champions"
"12709.0",15,"33","30247.34",5,5,5,15,"Champions"
"14709.0",15,"25","8886.33",5,5,5,15,"Champions"
"17139.0",15,"25","19584.46",5,5,5,15,"Champions"
"17975.0",15,"24","7025.53",5,5,5,15,"Champions"
"15270.0",15,"21","8524.86",5,5,5,15,"Champions"
"16570.0",15,"20","7434.31",5,5,5,15,"Champions"
"14607.0",15,"20","22589.63",5,5,5,15,"Champions"
"12476.0",15,"18","12351.41",5,5,5,15,"Champions"
"15953.0",15,"18","3669.55",5,5,5,15,"Champions"
"15482.0",15,"18","14552.56",5,5,5,15,"Champions"
"15034.0",15,"14","8313.40",5,5,5,15,"Champions"
"13995.0",15,"14","3902.01",5,5,5,15,"Champions"
"12748.0",0,"323","52581.80",5,5,5,15,"Champions"
"13267.0",2,"36","9758.26",5,5,5,15,"Champions"
"15858.0",15,"13","3960.37",5,5,5,15,"Champions"
"12705.0",15,"13","11114.10",5,5,5,15,"Champions"
"17228.0",15,"13","3177.24",5,5,5,15,"Champions"
"15502.0",15,"12","10532.52",5,5,5,15,"Champions"
"17133.0",15,"12","14622.33",5,5,5,15,"Champions"
"17096.0",15,"11","3759.18",5,5,5,15,"Champions"
"12757.0",15,"9","4199.20",5,5,5,15,"Champions"
"12937.0",15,"9","3097.61",5,5,5,15,"Champions"
"14277.0",15,"8","16817.36",5,5,5,15,"Champions"
"12388.0",15,"8","3901.11",5,5,5,15,"Champions"
"13534.0",2,"35","7720.90",5,5,5,15,"Champions"
"13668.0",2,"35","13089.94",5,5,5,15,"Champions"
"12569.0",2,"32","3152.69",5,5,5,15,"Champions"
"14085.0",2,"32","10089.97",5,5,5,15,"Champions"
"13831.0",16,"18","7023.58",5,5,5,15,"Champions"
"15916.0",16,"13","3427.17",5,5,5,15,"Champions"
"17725.0",16,"11","3439.08",5,5,5,15,"Champions"
"14099.0",16,"20","5765.71",5,5,5,15,"Champions"
"16255.0",16,"15","4906.80",5,5,5,15,"Champions"
"17422.0",16,"11","3594.76",5,5,5,15,"Champions"
"14049.0",16,"13","13239.03",5,5,5,15,"Champions"
"13448.0",16,"12","8881.16",5,5,5,15,"Champions"
"14334.0",16,"12","4318.48",5,5,5,15,"Champions"
"17238.0",2,"32","7782.60",5,5,5,15,"Champions"
"13174.0",16,"11","9471.94",5,5,5,15,"Champions"
"15984.0",2,"30","8759.32",5,5,5,15,"Champions"
"17685.0",16,"12","5943.17",5,5,5,15,"Champions"
"13650.0",16,"10","3288.00",5,5,5,15,"Champions"
"17700.0",16,"14","6679.97",5,5,5,15,"Champions"
"17469.0",16,"17","5051.25",5,5,5,15,"Champions"
"12619.0",16,"9","3085.70",5,5,5,15,"Champions"
"16458.0",2,"30","5715.34",5,5,5,15,"Champions"
"16057.0",16,"10","3854.85",5,5,5,15,"Champions"
"12720.0",2,"29","7306.67",5,5,5,15,"Champions"
"14744.0",16,"14","3885.08",5,5,5,15,"Champions"
"14733.0",16,"15","16184.97",5,5,5,15,"Champions"
"12557.0",16,"8","18716.14",5,5,5,15,"Champions"
"13018.0",16,"35","9763.16",5,5,5,15,"Champions"
"17809.0",16,"20","11337.39",5,5,5,15,"Champions"
"17017.0",2,"29","14110.61",5,5,5,15,"Champions"
"13742.0",16,"12","3131.02",5,5,5,15,"Champions"
"15727.0",16,"15","9445.51",5,5,5,15,"Champions"
"16670.0",16,"20","8030.15",5,5,5,15,"Champions"
"12583.0",2,"27","13295.44",5,5,5,15,"Champions"
"16722.0",17,"22","8989.08",5,5,5,15,"Champions"
"14515.0",17,"12","3749.26",5,5,5,15,"Champions"
"12483.0",17,"19","4092.58",5,5,5,15,"Champions"
"15497.0",17,"9","8657.39",5,5,5,15,"Champions"
"16365.0",17,"15","3307.20",5,5,5,15,"Champions"
"16748.0",17,"14","3637.33",5,5,5,15,"Champions"
"17659.0",17,"14","3834.79",5,5,5,15,"Champions"
"15150.0",17,"13","9001.08",5,5,5,15,"Champions"
"14534.0",2,"26","6266.51",5,5,5,15,"Champions"
"12839.0",2,"26","10071.73",5,5,5,15,"Champions"
"12747.0",2,"26","9276.54",5,5,5,15,"Champions"
"17338.0",17,"17","12133.78",5,5,5,15,"Champions"
"16128.0",17,"11","3801.05",5,5,5,15,"Champions"
"17389.0",0,"61","57224.68",5,5,5,15,"Champions"
"12474.0",17,"29","11362.45",5,5,5,15,"Champions"
"15845.0",17,"11","4426.28",5,5,5,15,"Champions"
"17735.0",2,"26","17244.93",5,5,5,15,"Champions"
"16422.0",17,"109","63651.47",5,5,5,15,"Champions"
"14329.0",17,"15","9927.22",5,5,5,15,"Champions"
"15965.0",17,"13","3013.09",5,5,5,15,"Champions"
"16607.0",17,"25","5706.87",5,5,5,15,"Champions"
"13268.0",17,"10","3192.65",5,5,5,15,"Champions"
"17519.0",17,"15","5109.47",5,5,5,15,"Champions"
"16191.0",2,"24","15688.02",5,5,5,15,"Champions"
"16655.0",17,"13","6548.37",5,5,5,15,"Champions"
"16985.0",17,"23","10923.16",5,5,5,15,"Champions"
"13488.0",17,"23","15587.88",5,5,5,15,"Champions"
"15971.0",17,"18","5897.88",5,5,5,15,"Champions"
"14505.0",17,"19","11995.84",5,5,5,15,"Champions"
"12656.0",17,"8","5723.83",5,5,5,15,"Champions"
"13756.0",2,"23","9207.50",5,5,5,15,"Champions"
"15738.0",18,"41","13372.97",5,5,5,15,"Champions"
"14030.0",18,"20","8262.29",5,5,5,15,"Champions"
"13246.0",18,"11","3387.43",5,5,5,15,"Champions"
"15105.0",18,"9","3094.91",5,5,5,15,"Champions"
"15527.0",18,"23","5574.79",5,5,5,15,"Champions"
"13777.0",0,"61","56478.42",5,5,5,15,"Champions"
"15093.0",18,"23","14326.11",5,5,5,15,"Champions"
"15298.0",2,"23","9459.37",5,5,5,15,"Champions"
"16393.0",2,"23","5561.66",5,5,5,15,"Champions"
"15804.0",0,"13","4206.39",5,5,5,15,"Champions"
"15179.0",18,"13","7491.92",5,5,5,15,"Champions"
"14482.0",18,"12","4357.91",5,5,5,15,"Champions"
"14395.0",2,"20","8208.01",5,5,5,15,"Champions"
"16672.0",2,"20","8134.94",5,5,5,15,"Champions"
"13769.0",2,"20","5800.42",5,5,5,15,"Champions"
"16713.0",18,"32","14560.69",5,5,5,15,"Champions"
"12395.0",19,"15","4551.27",5,5,5,15,"Champions"
"15044.0",19,"32","15949.19",5,5,5,15,"Champions"
"15465.0",19,"32","12655.65",5,5,5,15,"Champions"
"12540.0",19,"32","19250.49",5,5,5,15,"Champions"
"17049.0",2,"19","9947.48",5,5,5,15,"Champions"
"17091.0",2,"19","7811.10",5,5,5,15,"Champions"
"18092.0",2,"18","16179.44",5,5,5,15,"Champions"
"14527.0",2,"122","27750.50",5,5,5,15,"Champions"
"15750.0",2,"18","6797.19",5,5,5,15,"Champions"
"18219.0",2,"17","3562.89",5,5,5,15,"Champions"
"14769.0",2,"17","15770.23",5,5,5,15,"Champions"
"17412.0",2,"16","4417.52",5,5,5,15,"Champions"
"14189.0",2,"16","5814.39",5,5,5,15,"Champions"
"17428.0",0,"45","31819.76",5,5,5,15,"Champions"
"12935.0",2,"15","4243.86",5,5,5,15,"Champions"
"13870.0",2,"15","5712.08",5,5,5,15,"Champions"
"17602.0",2,"14","7451.13",5,5,5,15,"Champions"
"13069.0",0,"38","9683.13",5,5,5,15,"Champions"
"17870.0",2,"13","3108.15",5,5,5,15,"Champions"
"17449.0",2,"13","4948.15",5,5,5,15,"Champions"
"12662.0",0,"20","6374.02",5,5,5,15,"Champions"
"13767.0",2,"73","35540.53",5,5,5,15,"Champions"
"17754.0",0,"13","4577.53",5,5,5,15,"Champions"
"16678.0",2,"12","3109.99",5,5,5,15,"Champions"
"12826.0",2,"12","2955.75",5,5,5,15,"Champions"
"12471.0",2,"72","35186.59",5,5,5,15,"Champions"
"12615.0",2,"8","5362.98",5,5,5,15,"Champions"
"12347.0",2,"8","5633.32",5,5,5,15,"Champions"
"14132.0",2,"11","3586.03",5,5,5,15,"Champions"
"18272.0",2,"9","4385.98",5,5,5,15,"Champions"
"14032.0",2,"16","4850.27",5,5,5,15,"Champions"
"18102.0",0,"145","608821.65",5,5,5,15,"Champions"
"15194.0",3,"28","12427.69",5,5,5,15,"Champions"
"13113.0",0,"37","18625.73",5,5,5,15,"Champions"
"16143.0",3,"12","4910.83",5,5,5,15,"Champions"
"15311.0",0,"207","116476.16",5,5,5,15,"Champions"
"17346.0",3,"26","5315.80",5,5,5,15,"Champions"
"13426.0",0,"22","8167.38",5,5,5,15,"Champions"
"14293.0",3,"9","3267.93",5,5,5,15,"Champions"
"14735.0",3,"55","12225.16",5,5,5,15,"Champions"
"14282.0",3,"25","7849.66",5,5,5,15,"Champions"
"13881.0",3,"43","45179.10",5,5,5,15,"Champions"
"13225.0",3,"16","16260.07",5,5,5,15,"Champions"
"18225.0",3,"26","13054.26",5,5,5,15,"Champions"
"16133.0",3,"56","22992.26",5,5,5,15,"Champions"
"14572.0",3,"11","5609.28",5,5,5,15,"Champions"
"12766.0",3,"9","9116.28",5,5,5,15,"Champions"
"14868.0",3,"12","4184.01",5,5,5,15,"Champions"
"16558.0",0,"38","13873.51",5,5,5,15,"Champions"
"14547.0",3,"8","4007.54",5,5,5,15,"Champions"
"12362.0",3,"10","4737.23",5,5,5,15,"Champions"
"15694.0",0,"23","10795.81",5,5,5,15,"Champions"
"13709.0",3,"18","7591.75",5,5,5,15,"Champions"
"17530.0",1,"12","3136.92",5,5,5,15,"Champions"
"14907.0",3,"16","6165.79",5,5,5,15,"Champions"
"17677.0",1,"54","36692.91",5,5,5,15,"Champions"
"12971.0",3,"116","15972.79",5,5,5,15,"Champions"
"14653.0",1,"12","3604.59",5,5,5,15,"Champions"
"12877.0",3,"20","2955.17",5,5,5,15,"Champions"
"15061.0",3,"127","137817.07",5,5,5,15,"Champions"
"12989.0",3,"33","13551.75",5,5,5,15,"Champions"
"12749.0",3,"9","6897.36",5,5,5,15,"Champions"
"13694.0",3,"143","196482.81",5,5,5,15,"Champions"
"13078.0",3,"57","29532.45",5,5,5,15,"Champions"
"14113.0",3,"16","7092.61",5,5,5,15,"Champions"
"14110.0",3,"33","12987.95",5,5,5,15,"Champions"
"14646.0",1,"145","526751.52",5,5,5,15,"Champions"
"14422.0",0,"19","10271.52",5,5,5,15,"Champions"
"12417.0",3,"20","6017.91",5,5,5,15,"Champions"
"17861.0",3,"18","5127.69",5,5,5,15,"Champions"
"15023.0",3,"20","12147.53",5,5,5,15,"Champions"
"14825.0",3,"24","4925.08",5,5,5,15,"Champions"
"13199.0",3,"66","16417.89",5,5,5,15,"Champions"
"17001.0",0,"19","6640.80",5,5,5,15,"Champions"
"17730.0",3,"20","7773.80",5,5,5,15,"Champions"
"12682.0",3,"51","21693.91",5,5,5,15,"Champions"
"15189.0",1,"46","17524.38",5,5,5,15,"Champions"
